COMPANY_ADDRESS,COMPANY_NAME,GOODS_NAME,GOODS_PRICE,GOODS_URL,IP,LAST_CHECK_TIME,PORT,POSITION,SHOP_NAME,SHOP_URL,SPEED,TYPE
上海,,WD/西部数据 WD GREEN PC SSD 120G,169.00,https://detail.tmall.com/item.htm?id=554902338584&skuId=3789050113843&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
"湖北省,  武汉市",,AData/威刚 SU800 128G,155.00,https://detail.tmall.com/item.htm?id=540346037673&skuId=3796809784729&standard=1&user_id=2133729733&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,瑞达中腾数码专营店,//rate.taobao.com/user-rate-UvCHGvGcyOFcGvWTT.htm,,
"广东省,  深圳市",,eekoo/壹酷 FONE 120G,139.00,https://detail.tmall.com/item.htm?id=570262192129&skuId=3676994888459&standard=1&user_id=2357345202&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,eekoo壹酷旗舰店,//rate.taobao.com/user-rate-UvCvbMGv0MFIWvgTT.htm,,
"江苏省,  南京市",,WD/西部数据 WD40EZRZ,633.00,https://detail.tmall.com/item.htm?id=523160102571&skuId=3909670414447&standard=1&user_id=1746864514&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,和瑟数码专营店,//rate.taobao.com/user-rate-UvFc0MCgLMm8YMNTT.htm,,
"江苏省,  南京市",,WD/西部数据 WD30EZRZ,465.00,https://detail.tmall.com/item.htm?id=523242229702&skuId=3910224794399&standard=1&user_id=1746864514&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,和瑟数码专营店,//rate.taobao.com/user-rate-UvFc0MCgLMm8YMNTT.htm,,
上海,,WD/西部数据 WDS240G1G0A,259.00,https://detail.tmall.com/item.htm?id=541221612873&skuId=3811793005884&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
"山东,  济南",,硕的 X40,179.00,https://detail.tmall.com/item.htm?id=566803058725&skuId=3603270917229&user_id=713805252&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,雅硕数码专营店,//rate.taobao.com/user-rate-UMGHGOmNbvC8y.htm,,
,,Lenovo/联想 ST510(120G),159.00,https://detail.tmall.com/item.htm?id=545194381711&skuId=3451976174898&standard=1&user_id=3089116113&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,联想联信达专卖店,//rate.taobao.com/user-rate-UvGN4OFHYMCHYvWTT.htm,,
,,Samsung/三星 MZ-V7E500BW,1099.00,https://detail.tmall.com/item.htm?id=569120030736&skuId=3730782856965&standard=1&user_id=3208350802&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,三星存储旗舰店,//rate.taobao.com/user-rate-UvGIWOmvbvmgWvgTT.htm,,
上海,,WD/西部数据 WD M.2 2280 240G,279.00,https://detail.tmall.com/item.htm?id=554902686118&skuId=3773509711223&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
上海,,Samsung/三星 MZ-76E250B/CN,379.00,https://detail.tmall.com/item.htm?id=564063940519&skuId=3943960855846&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
上海,,Samsung/三星 MZ-76E500B/CN,649.00,https://detail.tmall.com/item.htm?id=564240962668&skuId=3753511052366&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
"江苏,  南京",,Toshiba/东芝 HDTB420YK3AA,519.00,https://detail.tmall.com/item.htm?id=565399873867&skuId=3753159932463&standard=1&user_id=925588507&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝多喜巴专卖店,//rate.taobao.com/user-rate-UOFIbMFg4MFNu.htm,,
,,tigo/金泰克 S300 120G,160.00,https://detail.tmall.com/item.htm?id=545775752075&skuId=3741617055871&standard=1&user_id=3162810140&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,tigo金泰克存储旗舰店,//rate.taobao.com/user-rate-UvGHLvCgYvmH0vNTT.htm,,
